Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,851.0,18.0,34.0,1636.0,0.1,10.482590128408795,0.0,0.0,231.39499640464783,,,,,,,,,,,,,,,,,,,,,3.090814636272109,3.4119741383992968,10.39828860970635,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,879.0,19.0,28.0,1664.0,0.1,7.360198267739306,0.0,0.0,234.37510585784912,,,,,,,,,,,,,,,,,,,,,2.473334129398313,2.4051016418756257,7.305548703975403,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,949.0,20.0,70.0,1734.0,0.1,39.961205652840654,0.0,0.0,240.99415349960327,,,,,,,,,,,,,,,,,,,,,17.934994742826525,12.139453235328764,38.78328380516933,0.4200610747808343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,38.0,1.0,38.0,1772.0,0.1,16.941759674230596,0.0,0.0,331.71060585975647,,,,,,,,,,,,,,,,,,,,,6.1227654279133334,5.792962019562549,16.742562971349603,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,71.0,2.0,33.0,1805.0,0.1,12.738927507924057,0.0,0.0,335.32490730285645,,,,,,,,,,,,,,,,,,,,,5.23764459078697,3.9701482486270834,12.591255155483902,0.07939246734296546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,158.0,3.0,87.0,1892.0,0.1,43.68137406505437,0.0,0.0,343.2299613952637,,,,,,,,,,,,,,,,,,,,,16.919536089582458,14.118425860762184,42.29391997128333,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,187.0,4.0,29.0,1921.0,0.1,7.484225901938668,0.0,0.0,346.21633672714233,,,,,,,,,,,,,,,,,,,,,2.318648865302276,2.5698614499457766,7.43184133567492,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,235.0,5.0,48.0,1969.0,0.1,12.240501584551717,0.0,0.0,350.76497745513916,,,,,,,,,,,,,,,,,,,,,4.595511174816161,3.694785352949891,12.043992990147851,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,263.0,6.0,28.0,1997.0,0.1,5.3725919829652655,0.0,0.0,353.8665177822113,,,,,,,,,,,,,,,,,,,,,1.2964467462427682,1.6916821630919252,5.346980087264915,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,285.0,7.0,22.0,2019.0,0.1,3.702928444569634,0.0,0.0,356.3327224254608,,,,,,,,,,,,,,,,,,,,,1.2445438474816375,1.364187518380123,3.6829106182509235,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,335.0,8.0,50.0,2069.0,0.1,16.098750848415175,0.0,0.0,361.20571780204773,,,,,,,,,,,,,,,,,,,,,4.461213970547525,5.500199646249856,15.907489220840247,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,406.0,9.0,71.0,2140.0,0.1,32.17283812012243,0.0,0.0,367.7089228630066,,,,,,,,,,,,,,,,,,,,,13.429119839395149,10.946257332650204,31.345876749859247,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,442.0,10.0,36.0,2176.0,0.1,16.949117123197546,0.0,0.0,371.35692858695984,,,,,,,,,,,,,,,,,,,,,8.633468662367102,4.688674151451915,16.671638857428334,0.5851552292378556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,472.0,11.0,30.0,2206.0,0.1,10.488658652411981,0.0,0.0,374.6461021900177,,,,,,,,,,,,,,,,,,,,,3.3224131119012923,3.63859082164437,10.409795440139785,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,537.0,12.0,65.0,2271.0,0.1,25.643033380182036,0.0,0.0,380.7127673625946,,,,,,,,,,,,,,,,,,,,,8.925641902386678,7.946317218038643,25.113067678816815,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,575.0,13.0,38.0,2309.0,0.1,10.809798390902342,0.0,0.0,384.4509971141815,,,,,,,,,,,,,,,,,,,,,3.824283454855937,3.5909911241128945,10.685836606995206,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,649.0,14.0,74.0,2383.0,0.1,38.910915520001765,0.0,0.0,391.21689677238464,,,,,,,,,,,,,,,,,,,,,15.895452279795478,12.057377551880048,37.810234710483186,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,677.0,15.0,28.0,2411.0,0.1,5.761108132017373,0.0,0.0,394.1088213920593,,,,,,,,,,,,,,,,,,,,,1.478717374877156,1.771519959575156,5.7311606356314435,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,742.0,16.0,65.0,2476.0,0.1,30.894088452197888,0.0,0.0,400.418817281723,,,,,,,,,,,,,,,,,,,,,11.01347438665728,10.144909330060802,30.238659697801047,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,801.0,17.0,59.0,2535.0,0.1,24.029507626069293,0.0,0.0,406.03840684890747,,,,,,,,,,,,,,,,,,,,,9.148080311901314,7.936839879299194,23.536820992831768,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,829.0,18.0,28.0,2563.0,0.1,7.177152655311125,0.0,0.0,408.9139392375946,,,,,,,,,,,,,,,,,,,,,1.6429215223869014,2.3807690994412583,7.1454345764025256,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,854.0,19.0,25.0,2588.0,0.1,6.4474994364250335,0.0,0.0,411.5890817642212,,,,,,,,,,,,,,,,,,,,,2.171365748525462,1.9339158891924981,6.406020928548065,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,887.0,20.0,33.0,2621.0,0.1,14.38267422647878,0.0,0.0,415.1104476451874,,,,,,,,,,,,,,,,,,,,,5.5678479337082205,4.83200930274723,14.2273757688283,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,37.0,1.0,37.0,2658.0,0.1,16.52962260938212,0.0,0.0,502.176885843277,,,,,,,,,,,,,,,,,,,,,6.764588287414677,5.451609389221661,16.311940411630623,0.40711580716344187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,74.0,2.0,37.0,2695.0,0.1,17.502256060700393,0.0,0.0,505.76883268356323,,,,,,,,,,,,,,,,,,,,,6.7503840105293715,5.7662246143117475,17.28704866258731,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,125.0,3.0,51.0,2746.0,0.1,23.42427865250015,0.0,0.0,510.86641240119934,,,,,,,,,,,,,,,,,,,,,8.116584166341339,7.859769385953077,23.056422648891854,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,158.0,4.0,33.0,2779.0,0.1,9.518517459041806,0.0,0.0,514.1758487224579,,,,,,,,,,,,,,,,,,,,,3.0655772403293082,3.265425282370808,9.43621640670795,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,193.0,5.0,35.0,2814.0,0.1,7.144383602909321,0.0,0.0,517.7171378135681,,,,,,,,,,,,,,,,,,,,,1.851477564765569,2.102875466918638,7.093762319018247,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,233.0,6.0,40.0,2854.0,0.1,11.541218851558078,0.0,0.0,521.6293480396271,,,,,,,,,,,,,,,,,,,,,3.452349045000388,3.5011717434300658,11.42596539458184,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,257.0,7.0,24.0,2878.0,0.1,3.916984688176865,0.0,0.0,524.3097801208496,,,,,,,,,,,,,,,,,,,,,1.0978598948270244,1.3366908757262523,3.8984290102925927,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,314.0,8.0,57.0,2935.0,0.1,16.47771698259932,0.0,0.0,529.9147081375122,,,,,,,,,,,,,,,,,,,,,6.099835039327962,4.153541625829923,16.162334892808353,0.4635499462634167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,349.0,9.0,35.0,2970.0,0.1,8.330634528533029,0.0,0.0,533.3976130485535,,,,,,,,,,,,,,,,,,,,,2.7814267642798276,2.7886915929943465,8.249775893794936,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,382.0,10.0,33.0,3003.0,0.1,15.955811654386896,0.0,0.0,536.7622072696686,,,,,,,,,,,,,,,,,,,,,6.8707401240119985,4.862797725873148,15.760582634981832,0.5418308972417756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,472.0,11.0,90.0,3093.0,0.1,48.92144679681997,0.0,0.0,544.9886295795441,,,,,,,,,,,,,,,,,,,,,20.15312196445382,15.405502717977585,47.202022663323156,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,556.0,12.0,84.0,3177.0,0.1,45.82105534610266,0.0,0.0,552.5641810894012,,,,,,,,,,,,,,,,,,,,,19.534777308629277,13.935046365769214,44.26862703762604,0.24272669629345112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,593.0,13.0,37.0,3214.0,0.1,13.679210751541431,0.0,0.0,556.4996943473816,,,,,,,,,,,,,,,,,,,,,4.530393396131552,4.781577606867813,13.538649957148909,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,619.0,14.0,26.0,3240.0,0.1,6.063966936066363,0.0,0.0,559.2842755317688,,,,,,,,,,,,,,,,,,,,,1.6346461272718433,2.105458764979928,6.03352715754523,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,717.0,15.0,98.0,3338.0,0.1,59.20810980667369,0.0,0.0,568.1974310874939,,,,,,,,,,,,,,,,,,,,,25.73342625984734,18.121284297813144,56.79977678700587,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,795.0,16.0,78.0,3416.0,0.1,48.80429220220669,0.0,0.0,575.3376922607422,,,,,,,,,,,,,,,,,,,,,22.932703700610492,14.529395444769367,47.109713631107695,0.6999125042835341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
